"Feed","IFN","Cost","Forage","DM","CP","SP","ADICP","Sugars","OA","Fat","Ash","Starch","NDF","Lignin","TDN","ME","NEma","NEga","RUP","kd PB","kd CB1","kd CB2","kd CB3","PBID","CB1ID","CB2ID","pef","ARG","HIS","ILE","LEU","LYS","MET","CYS","PHE","TYR","THR","TRP","VAL","Ca","P","Mg","Cl","K","Na","S","Co","Cu","I","Fe","Mn","Se","Zn","Vit A","Vit D","Vit E"
"Unit",NA,"$/Tonne AF","%DM","%AF","%DM","%CP","%CP","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","Mcal/kg","Mcal/kg","Mcal/kg","%CP","%/h","%/h","%/h","%/h","%","%","%","%NDF","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","%DM","% DM","% DM","% DM","% DM","% DM","% DM","% DM","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","mg/kg","IU/g","IU/g","IU/kg"
"Fish meal",NA,"0","0","92.302","66.245","25.245","13.203","0","0","11.889","20.017","5.824","13.597","0","81.871","2.96","1.998","1.345","45.036","0.957","0","0","0","98.4","0","75","10","4.763","1.524","3.001","4.645","4.723","1.881","0","2.868","0","2.762","1.007","3.186","5.196","0.205","0.205","1.147","0.92","0.651","0.819","1.237","9.002","1.19","931.751","79.973","1.367","128.668","0","0","13"
"Flaxseed",NA,"0","0","91.627","28.685","46.334","7.44","0","0","27.67","5.124","1.98","31.838","5.748","81.61","2.951","1.991","1.338","34.766","6.139","25","25","6","75.3","75","75","100","2.983","0.901","1.081","1.816","1.104","0.181","0","1.678","0","0.99","0.499","1.512","0.315","0.446","0.446","0.089","0.94","0.059","0.294","0.71","14.925","0","109.598","32.922","0","52.72","0","0","0"
"Forage sorghum silage",NA,"0","100","28.858","9.025","49.561","6.313","1.438","0","2.901","8.895","9.794","57.706","5.337","57.431","2.076","1.224","0.657","30.179","0.492","20","20","5","72.6","75","75","81","0.638","0.122","0.272","0.387","0.326","0.068","0","0.251","0","0.204","0.068","0.251","0.44","0.258","0.258","0.697","1.891","0.024","0.146","1.98","8.851","0","422.949","53.366","0.03","34.103","0","0","0"
"Forage sorghum sudan",NA,"0","100","31.816","12.767","44.444","5.434","0","0","2.982","10.379","2.081","59.85","4.242","57.1","2.064","1.212","0.647","29.283","2.582","20","20","5","56.1","75","75","41","0.361","0.128","0.361","0.701","0.361","0.086","0","0.447","0","0.361","0.575","0.489","0.471","0.302","0.302","0.927","2.508","0.028","0.252","0.27","13.293","0","398.007","79.013","0","38.894","175.4","0","0"
"Forage sorghum sudan hay",NA,"0","100","88.769","11.034","39.322","4.528","12.6","0","2.023","8.826","2.858","62.702","4.785","56.771","2.052","1.201","0.637","35.193","3.067","20","20","3","66.7","75","75","98","0.312","0.11","0.312","0.606","0.312","0.074","0","0.386","0","0.312","0.497","0.423","0.412","0.288","0.288","0.985","2.209","0.052","0.158","0.127","8.883","0","324.812","66.992","0","34.918","0","0","0"
"Forage sorghum sudan silage",NA,"0","100","31.28","12.274","50.461","6.455","5.767","0","3.278","10.193","2.901","61.127","5.548","56.11","2.029","1.179","0.616","30.435","2.582","20","20","5","56.1","75","75","41","0.347","0.123","0.347","0.674","0.347","0.082","0","0.43","0","0.347","0.552","0.47","0.547","0.269","0.269","0.763","2.482","0.026","0.175","0.27","10.567","0","747.047","61.34","0.15","37.099","175.4","0","0"
"Forage sorghum, fresh",NA,"0","100","30.554","8.904","40.552","5.064","0","0","2.207","7.789","11.976","56.036","4.002","60.144","2.174","1.314","0.74","34.383","0.492","20","20","5","72.6","75","75","81","0.63","0.12","0.268","0.382","0.321","0.067","0","0.248","0","0.201","0.067","0.248","0.329","0.218","0.218","0.599","1.666","0.016","0.141","0.3","10.458","0","431.547","61.244","0.03","35.521","0","0","0"
"Forage sorghum, hay",NA,"0","100","88.662","9.046","36.876","4.985","0","0","2.086","7.588","9.518","58.523","5.018","58.826","2.127","1.27","0.7","38.017","3.067","20","20","3","66.7","75","75","98","0.256","0.09","0.256","0.497","0.256","0.061","0","0.317","0","0.256","0.407","0.346","0.379","0.269","0.269","0.743","1.766","0.022","0.129","0.127","8.599","0","258.663","57.291","0.13","30.493","0","0","0"
"Foxtail millet",NA,"0","100","76.007","9.808","15","25","0","0","1","8","14.72","60.3","15","47.6","1.721","0.882","0.341","30","4.713","30","30","5.5","46.6","75","75","92","0.627","0.257","0.589","0.908","0.59","0.072","0","0.62","0","0.49","0.18","0.7","0.62","0.2","0.2","0","2.65","0.06","0","0","2.8","0","290","24.8","0.55","26.6","0","1","0"
"Fresh soybean forage",NA,"0","100","33.353","19.585","39.606","8.722","0","0","3.538","8.558","5.894","45.336","7.073","60.343","2.182","1.321","0.746","32.793","5.758","25","25","9","79.6","75","75","41","0.554","0.196","0.554","1.075","0.554","0.131","0","0.685","0","0.554","0.881","0.75","1.266","0.375","0.375","0.292","1.794","0.015","0.214","0","10.518","0","285.018","51.702","0","38.224","254.4","0","0"
"Glycerin",NA,"0","0","80.248","0.836","100","0","1.4","0","6.235","6.692","0.35","0.3","0","68.971","2.494","1.601","0.998","0","0","30","30","20","0","75","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0.077","0.071","0.071","4.488","0.533","2.478","1.18","1.587","5.075","2.103","263","22.25","0","7.219","0","0","7"
"Grain sorghum grain",NA,"0","0","88.7","11.641","19.497","8.659","0.1","0","3.497","2.092","71.163","7.201","1.148","85.952","3.107","2.12","1.448","71.105","5.15","10","10","5","85.5","75","75","34","0.823","0.157","0.35","0.499","0.42","0.087","0","0.324","0","0.263","0.087","0.324","0.058","0.148","0.148","0.319","0.393","0.118","0.106","0.65","4.952","0.069","42.941","20.106","0.227","19.902","0.05","0","12"
"Grain sorghum hay",NA,"0","100","84.794","8.953","38.5","8.398","0","0","1.587","10.968","7.33","56.436","2.898","54.45","1.969","1.122","0.564","31","3.067","20","20","3","66.7","75","75","98","0.253","0.09","0.253","0.492","0.253","0.06","0","0.313","0","0.253","0.403","0.343","0.442","0.257","0.257","0","1.71","0.025","0.104","0.127","8.473","0","170","97.636","0","30.436","0","0","0"
"Grain sorghum silage",NA,"0","100","36.473","9.201","3.843","8.948","0.189","0","2.395","10.085","4.627","49.166","5.642","59","2.133","1.276","0.706","28","2.582","20","20","5","56.1","75","75","41","0.26","0.092","0.26","0.505","0.26","0.062","0","0.322","0","0.26","0.414","0.352","0.358","0.19","0.19","0","1.659","0.02","0.103","0.27","4.75","0","120","43.34","0","20.833","175.4","0","0"
"Grain sorghum stalks",NA,"0","100","82.63","7.671","31.95","7.306","0","0","1.518","19.529","53.55","64.821","1.4","39.474","1.427","0.585","0.058","57","5.15","10","10","5","85.5","75","75","34","0.542","0.104","0.231","0.329","0.277","0.058","0","0.213","0","0.173","0.058","0.213","0.485","0.273","0.273","0.36","1.794","0.03","0.114","0.531","6.525","0.069","80.8","86.167","0.46","21.292","0.05","0","12"
"Grain sorghum, flaked",NA,"0","0","81.023","10.088","8","82.188","0","0","2.615","1.357","75.177","9.7","0.2","93","3.362","2.325","1.621","56.96","3.893","25","25","6","85.8","95","75","48","0.184","0.208","0.271","1.082","0.166","0.113","0","0.368","0","0.282","0.037","0.378","0.034","0.122","0.122","0.46","0.38","0.01","0.11","0.429","3","0","30","18","0","19","0","0","0"
"Grain sorghum, high-moisture",NA,"0","0","69.914","10.412","3.5","9.25","0","0","3.45","2.7","72.89","9.275","1.4","86","3.109","2.121","1.45","49.244","5.15","10","10","5","85.5","75","75","34","0.736","0.141","0.313","0.447","0.376","0.078","0","0.289","0","0.235","0.078","0.289","0.045","0.145","0.145","0.08","0.409","0.062","0.095","0.531","8.233","0.069","60","28.667","0.227","38.4","0.05","0","12"
"Grape pomace, dry",NA,"0","0","91.806","12.266","20.573","35.469","0","0","8.866","9.646","0.97","51.777","31.909","46.96","1.698","0.86","0.319","74.874","0","50","50","9","0","75","75","34","0","0","0","0","0","0","0","0","0","0","0","0","0.621","0.132","0.132","0.161","0.91","0.027","0.162","0","48.732","0","543.79","31.455","0","20.242","0","0","0"
"Grape pomace, wet",NA,"0","0","41.885","11.687","21.863","23.413","0","0","8.954","15.108","0.987","50.064","27.6","55.95","2.023","1.173","0.611","75.411","0","50","50","9","0","75","75","34","0","0","0","0","0","0","0","0","0","0","0","0","0.509","0.118","0.118","0.052","1.614","0.046","0.152","0","20.868","0","601.245","28.453","0","18.159","0","0","0"
"Hominy",NA,"0","0","88.741","10.272","28.019","3.245","1.1","0","7.148","2.645","56.773","16.787","1.479","87.243","3.154","2.158","1.481","66.535","3.693","20","20","5","87.6","75","75","9","0.557","0.295","0.402","1.112","0.329","0.114","0","0.501","0","0.377","0.011","0.533","0.036","0.203","0.203","0.111","0.621","0.024","0.121","0.061","3.83","0","65.256","10.65","0","37.512","0","0","0"
"Johnson grass",NA,"0","100","50.054","7.827","41","2","0","0","2.1","10","0.55","62.28","7","54","1.952","1.107","0.55","17","5.032","30","30","3","83.7","75","75","41","0.221","0.078","0.221","0.43","0.221","0.052","0","0.274","0","0.221","0.352","0.3","0.59","0.15","0.15","0","1.3","0","0.09","0","4","0","0","26","0","24","304.2","0","0"
"Kochia",NA,"0","100","74.997","13.491","25","5.938","0","0","1.1","11.818","6.512","45.976","3.497","50.888","1.84","0.999","0.45","21","3.67","30","30","3","73.3","75","75","98","0.382","0.135","0.382","0.741","0.382","0.09","0","0.472","0","0.382","0.607","0.517","1.483","0.733","0.733","0","3.244","0.091","0.399","0.58","25.057","0","91","108.857","0","28.329","26","0","0"
"Kochia silage",NA,"0","100","37.1","15.41","55","8.125","0","0","1.2","14.9","23.68","45.7","5","58","2.097","1.243","0.675","24","5.631","25","25","6","56.9","75","75","81","0.288","0.165","0.37","0.986","0.328","0.123","0","0.453","0","0.328","0.017","0.493","1.097","0.594","0.594","0.18","3.083","0.156","0.37","0.097","9.5","0","180","117","0","29.75","58.1","0","0"
"Linseed meal",NA,"0","0","90.468","36.932","43.997","8.587","0","0","11.957","6.178","2.536","32.101","5.72","73.55","2.659","1.745","1.125","31.942","7.842","35","35","6","86.6","75","75","23","3.952","0.931","1.983","2.511","1.592","0.72","0","1.939","0","1.559","0.602","2.127","0.392","0.575","0.575","0.078","1.181","0.091","0.377","0.21","21.386","0","280.491","50.734","0.91","73.907","0","0","0"
"Meadow hay",NA,"0","100","88.755","8.786","25","14.792","13.95","0","1.837","9.939","6.82","60.852","7","52.906","1.913","1.069","0.515","33","3.67","30","30","3","73.3","75","75","98","0.249","0.088","0.249","0.482","0.249","0.059","0","0.308","0","0.249","0.395","0.336","0.501","0.19","0.19","0","1.751","0.036","0.176","0.135","4.477","0","0","103.86","0","19.616","120.9","0","135.6"
"Millet forage fresh",NA,"0","100","36.188","12.157","43.65","8.029","0","0","3.9","8","4.875","65.282","8","52.5","1.898","1.055","0.502","13","5.758","25","25","9","79.6","75","75","41","0.344","0.122","0.344","0.667","0.344","0.081","0","0.426","0","0.344","0.547","0.466","0.471","0.391","0.391","0","2.84","0.155","0.274","0","38","0","200","90","0","31.635","254.4","0","0"
"Millet forage hay",NA,"0","100","86.27","9.529","36.807","5.674","0","0","1.725","11.384","2.905","62.481","6.498","52.543","1.9","1.056","0.503","39.63","3.67","30","30","3","73.3","75","75","98","0.27","0.095","0.27","0.523","0.27","0.064","0","0.334","0","0.27","0.429","0.365","0.499","0.323","0.323","0.897","2.581","0.028","0.197","0","8.984","0","450.225","72.732","0","29.795","34.6","0","0"
"Millet grain",NA,"0","0","86.697","11.269","19.867","18.452","0","0","3.458","5.341","49.238","21.614","3.211","76.154","2.753","1.825","1.195","71.415","10.399","30","30","5","79.2","75","75","34","0.544","0.258","0.442","0.77","0.346","0.091","0","0.631","0","0.355","0.142","0.55","0.683","0.152","0.152","0.089","0.381","0.033","0.348","0.193","10.26","0.05","116.311","20.359","0.55","39.388","3.8","0","26.2"
"Millet silage",NA,"0","100","34.856","12.283","47.728","6.341","0","0","2.335","11.791","3.597","61.937","5.992","53","1.916","1.072","0.518","31.888","2.582","20","20","5","56.1","75","75","41","0.348","0.123","0.348","0.674","0.348","0.082","0","0.43","0","0.348","0.553","0.47","0.509","0.367","0.367","1.206","2.835","0.032","0.196","0.27","9.316","0","618.236","97.664","0","46.521","175.4","0","0"
"Molasses, beet",NA,"0","0","77.9","10.862","100","0","70.621","0","0","27.2","0","0","0","75","2.712","1.79","1.164","0","0","30","30","3","0","75","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0.108","0.091","0.091","1.085","3.449","1.03","0.414","0.465","3","0","87","3","0","14","0","0","0"
"Molasses, cane",NA,"0","0","66.045","8.592","100","0","60.036","0","1.86","12.202","11.98","0","0","72","2.603","1.696","1.083","0","0","30","30","20","0","75","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0.884","0.396","0.396","2.213","4.462","1.037","0.679","1.587","6.55","2.103","263","23.19","5.33","17.36","0","0","7"
"Native prairie hay",NA,"0","100","88.01","6.761","22.945","6.531","0","0","1.796","10.264","4.18","66.579","2.05","48.408","1.75","0.911","0.368","38","3.292","30","30","3.5","97.1","75","75","98","0.191","0.068","0.191","0.371","0.191","0.045","0","0.237","0","0.191","0.304","0.259","0.49","0.167","0.167","0.506","1.035","0.047","0.12","0","3.755","0","88","65.306","0","20.612","37.2","0","0"
"Oat forage",NA,"0","0","29.58","16.462","50.908","5.548","0","0","3.659","9.732","2.668","52.71","4.213","61.13","2.21","1.347","0.77","26.4","7.171","35","35","5","69.5","75","75","34","0.721","0.296","0.632","1.268","0.333","0.349","0","0.965","0","0.356","0.211","0","0.476","0.199","0.199","1.021","2.766","0.208","0.218","0.063","8.956","0.125","603.403","63.163","1.15","27.858","0.2","0","15"
"Oat grain",NA,"0","0","89.865","12.546","27.354","4.267","0","0","6.165","3.064","44.089","26.648","3.001","82.988","3","2.032","1.374","56.468","7.171","35","35","5","69.5","75","75","34","0.55","0.226","0.482","0.966","0.253","0.266","0","0.735","0","0.271","0.161","0","0.101","0.142","0.142","0.137","0.499","0.018","0.166","0.52","6.175","0.125","105.035","50.285","0.28","31.067","0.2","0","15"
"Oat hay",NA,"0","100","89.607","8.732","40.837","3.731","0","0","2.216","7.075","3.968","59.129","4.687","59.902","2.166","1.306","0.733","33.912","3.924","30","30","4","65.5","75","75","98","0.247","0.087","0.247","0.479","0.247","0.059","0","0.306","0","0.247","0.393","0.334","0.291","0.144","0.144","0.919","1.653","0.407","0.131","0.876","6.912","0","249.087","65.276","0.143","21.19","49.6","2","0"
"Oat hulls",NA,"0","100","91.604","6.097","31.565","7.019","0","0","2.8","5.243","15.825","64.441","5.536","56.536","2.044","1.193","0.63","46.38","3.924","30","30","4","65.5","75","75","98","0.173","0.061","0.173","0.335","0.173","0.041","0","0.213","0","0.173","0.274","0.234","0.144","0.128","0.128","0.151","0.6","0.054","0.092","0.073","7.522","0","241.584","54.112","0","25.199","49.6","2","0"
"Oat straw",NA,"0","100","84.194","4.828","53","1.9","0","0","1.333","6.923","1.35","73.75","7.07","44.3","1.602","0.763","0.228","45","1.385","30","30","3","12.1","75","75","98","0.137","0.048","0.137","0.265","0.137","0.032","0","0.169","0","0.137","0.217","0.185","0.295","0.134","0.134","0.27","2.232","0.222","0.127","0","8.875","0","164","70.333","0","23.5","6.3","1","0"
"Oatlage",NA,"0","100","33.839","12.703","63.413","5.481","0","0","3.673","9.797","3.113","58.879","5.333","57.977","2.096","1.242","0.674","22.376","5.212","30","30","7","81.3","75","75","41","0.359","0.127","0.359","0.697","0.359","0.085","0","0.445","0","0.359","0.572","0.487","0.464","0.183","0.183","0.906","2.532","0.233","0.186","0.49","8.159","0","561.685","71.287","0","29.789","37.2","0","0"
"Onions",NA,"0","100","23.169","10.143","11","31.5","0","0","13.625","6.159","54.533","10.54","0.82","68.902","2.491","1.599","0.996","51.794","10.677","50","50","5","33","75","75","34","0.287","0.101","0.287","0.557","0.287","0.068","0","0.355","0","0.287","0.456","0.388","0.51","0.167","0.167","0","1.257","0","0.343","0","0","0","0","0","0","0","0","0","0"
"Orchardgrass hay",NA,"0","100","91.469","13.766","25","8.125","0","0","2.3","10.538","7.128","57.351","6.02","56.221","2.033","1.183","0.62","23","3.593","30","30","3","74.8","75","75","98","0.39","0.138","0.39","0.756","0.39","0.092","0","0.482","0","0.39","0.619","0.527","0.533","0.26","0.26","0.41","2.597","0.049","0.221","0.43","6.615","0","93","157.727","0","20.869","15","0","0"
"Pea hulls",NA,"0","0","88.845","20.1","48","4","0","0","1.329","4.2","40","54.925","3","71","2.567","1.665","1.055","35.831","2.532","30","30","6","74.6","75","75","34","2.352","0.436","0.738","1.341","0.704","0.235","0","1.039","0","0.569","0.201","0.905","0.204","0.199","0.199","0.39","0.97","0.95","0.174","0","6.5","0","200","13.25","0.448","41.25","0","0","4"
"Peanut hay",NA,"0","100","90.781","11.041","35.222","9.012","0","0","2.041","10.914","3.997","47.398","8.445","57.549","2.081","1.228","0.661","33.506","3.67","30","30","3","73.3","75","75","98","0.312","0.11","0.312","0.606","0.312","0.074","0","0.386","0","0.312","0.497","0.423","1.242","0.547","0.547","0.685","1.522","0.051","0.142","0","8.364","0","695.351","60.339","0.1","24.276","0","0","0"
"Peanut hulls",NA,"0","100","93.408","9.463","24.452","19.479","0","0","4.158","3.767","1.238","68.464","23.02","42.765","1.546","0.707","0.175","52.495","10.815","25","25","6","58.2","75","75","100","1.118","0.227","0.411","0.631","0.478","0.181","0","0.624","0","0.392","0.028","0.52","0.287","0.142","0.142","0.1","0.703","0.027","0.1","0.02","12.52","0","634","50","0.02","16.092","0","0","0"
"Peanut meal",NA,"0","0","94.11","44.958","29.828","12.535","0","0","7.731","5.554","6.933","19.893","3.3","80.759","2.92","1.965","1.316","28.2","7.788","45","45","6","88.4","75","75","36","4.891","0.98","1.421","2.724","1.412","0.495","0","2.212","0","1.137","0.441","1.717","0.211","0.324","0.324","0.21","1.114","0.031","0.273","1.19","14.096","0.07","462.904","32.111","0","53.445","0","0","0"
"Peanut silage",NA,"0","100","38.031","13.689","45.357","10.417","0","0","3.74","9.634","2.25","53.594","9.133","56.333","2.037","1.187","0.623","34.426","2.582","20","20","5","56.1","75","75","41","0.387","0.137","0.387","0.752","0.387","0.092","0","0.479","0","0.387","0.616","0.524","1.329","0.39","0.39","0.736","1.837","0.025","0.167","0.27","27.75","0","396.255","37.528","0","79.588","175.4","0","0"
"Peas",NA,"0","0","87.28","23.907","69.729","4.375","0","0","1.856","3.75","42.656","13.673","1.057","79.991","2.892","1.942","1.296","15.492","8.91","40","40","8","73.7","75","75","34","1.057","0.502","0.918","1.387","0.83","0.33","0","1.109","0","0.71","0.225","1.109","0.133","0.184","0.184","0.126","1.074","0.026","0.572","0","8.799","0","112.7","21.468","0.44","36.265","0.2","0","16.6"
"Peavine forage",NA,"0","100","18.178","20.134","51.477","6.269","0","0","3.806","9.645","3.474","44.308","5.745","62.135","2.246","1.38","0.8","26.331","24.39","30","30","9","83.4","75","75","41","0.57","0.201","0.57","1.105","0.57","0.135","0","0.705","0","0.57","0.906","0.771","1.065","0.26","0.26","0.543","2.814","0.02","0.21","0.239","0","0","0","0","0","0","37.2","0","0"
"Peavine hay",NA,"0","100","90.744","15.596","42.932","6.347","0","0","2.041","9.476","6.499","45.868","6.649","58.616","2.119","1.263","0.694","29.846","3.67","30","30","3","73.3","75","75","98","0.441","0.156","0.441","0.856","0.441","0.104","0","0.546","0","0.441","0.702","0.597","1.206","0.321","0.321","0.479","2.027","0.045","0.185","0.58","8.804","0","1452","102.479","0","44.039","26","0","0"
"Peavine silage",NA,"0","100","34.108","19.68","59.805","6.42","0","0","3.759","10.75","5.58","49.193","6.093","59.174","2.139","1.282","0.711","24.012","2.582","20","20","5","56.1","75","75","41","0.557","0.197","0.557","1.08","0.557","0.132","0","0.689","0","0.557","0.886","0.754","1.002","0.125","0.125","0.677","2.548","0.053","0.214","0.27","8.867","0","1346","68.982","0","32.808","175.4","0","0"
